### sacct (since yesterday)  20260729_114720
JobID                     JobName      State ExitCode    Elapsed               Start                 End 
54667451_10         catalog_count  COMPLETED      0:0   00:02:26 2026-07-28T10:31:18 2026-07-28T10:33:44 
54667451_11         catalog_count  COMPLETED      0:0   00:06:29 2026-07-28T10:31:18 2026-07-28T10:37:47 
54667451_12         catalog_count  COMPLETED      0:0   00:04:33 2026-07-28T10:31:18 2026-07-28T10:35:51 
54667451_13         catalog_count  COMPLETED      0:0   00:02:17 2026-07-28T10:31:18 2026-07-28T10:33:35 
54667451_14         catalog_count  COMPLETED      0:0   00:02:37 2026-07-28T10:31:18 2026-07-28T10:33:55 
54667451_15         catalog_count  COMPLETED      0:0   00:04:34 2026-07-28T10:31:18 2026-07-28T10:35:52 
54667451_16         catalog_count  COMPLETED      0:0   00:06:16 2026-07-28T10:31:18 2026-07-28T10:37:34 
54667451_17         catalog_count  COMPLETED      0:0   00:04:22 2026-07-28T10:31:18 2026-07-28T10:35:40 
54667451_18         catalog_count  COMPLETED      0:0   00:05:35 2026-07-28T10:31:18 2026-07-28T10:36:53 
54667451_19         catalog_count  COMPLETED      0:0   00:02:12 2026-07-28T10:31:18 2026-07-28T10:33:30 
54667451_20         catalog_count  COMPLETED      0:0   00:03:29 2026-07-28T10:31:18 2026-07-28T10:34:47 
54667451_21         catalog_count  COMPLETED      0:0   00:04:57 2026-07-28T10:31:18 2026-07-28T10:36:15 
54667451_22         catalog_count  COMPLETED      0:0   00:06:48 2026-07-28T10:31:18 2026-07-28T10:38:06 
54667451_23         catalog_count  COMPLETED      0:0   00:04:59 2026-07-28T10:31:18 2026-07-28T10:36:17 
54667451_24         catalog_count  COMPLETED      0:0   00:04:50 2026-07-28T10:31:18 2026-07-28T10:36:08 
54667451_25         catalog_count  COMPLETED      0:0   00:02:39 2026-07-28T10:31:18 2026-07-28T10:33:57 
54667451_26         catalog_count  COMPLETED      0:0   00:02:12 2026-07-28T10:31:18 2026-07-28T10:33:30 
54667451_27         catalog_count  COMPLETED      0:0   00:03:55 2026-07-28T10:31:18 2026-07-28T10:35:13 
54667451_28         catalog_count  COMPLETED      0:0   00:04:42 2026-07-28T10:31:18 2026-07-28T10:36:00 
54667451_29         catalog_count  COMPLETED      0:0   00:10:32 2026-07-28T10:31:18 2026-07-28T10:41:50 
54667451_30         catalog_count  COMPLETED      0:0   00:05:08 2026-07-28T10:31:18 2026-07-28T10:36:26 
54667451_31         catalog_count  COMPLETED      0:0   00:02:24 2026-07-28T10:31:18 2026-07-28T10:33:42 
54667451_32         catalog_count  COMPLETED      0:0   00:02:15 2026-07-28T10:31:18 2026-07-28T10:33:33 
54667451_33         catalog_count  COMPLETED      0:0   00:03:10 2026-07-28T10:31:18 2026-07-28T10:34:28 
54667451_34         catalog_count  COMPLETED      0:0   00:05:47 2026-07-28T10:31:18 2026-07-28T10:37:05 
54667451_35         catalog_count  COMPLETED      0:0   00:04:44 2026-07-28T10:31:18 2026-07-28T10:36:02 
54667451_36         catalog_count  COMPLETED      0:0   00:03:44 2026-07-28T10:31:18 2026-07-28T10:35:02 
54667451_37         catalog_count  COMPLETED      0:0   00:08:16 2026-07-28T10:31:18 2026-07-28T10:39:34 
54667451_38         catalog_count  COMPLETED      0:0   00:01:45 2026-07-28T10:31:18 2026-07-28T10:33:03 
54667451_39         catalog_count  COMPLETED      0:0   00:05:45 2026-07-28T10:31:18 2026-07-28T10:37:03 
54667451_40         catalog_count  COMPLETED      0:0   00:01:41 2026-07-28T10:31:18 2026-07-28T10:32:59 
54667451_41         catalog_count  COMPLETED      0:0   00:00:51 2026-07-28T10:31:18 2026-07-28T10:32:09 
54667451_42         catalog_count  COMPLETED      0:0   00:01:07 2026-07-28T10:31:18 2026-07-28T10:32:25 
54667451_43         catalog_count  COMPLETED      0:0   00:02:49 2026-07-28T10:31:18 2026-07-28T10:34:07 
54667451_44         catalog_count  COMPLETED      0:0   00:05:38 2026-07-28T10:31:18 2026-07-28T10:36:56 
54674051                     wrap  COMPLETED      0:0   00:00:25 2026-07-28T11:55:11 2026-07-28T11:55:36 
54674052                     wrap  COMPLETED      0:0   00:04:07 2026-07-28T11:55:36 2026-07-28T11:59:43 
54674050_1          catalog_count  COMPLETED      0:0   00:02:20 2026-07-28T11:40:38 2026-07-28T11:42:58 
54674050_2          catalog_count  COMPLETED      0:0   00:02:22 2026-07-28T11:40:38 2026-07-28T11:43:00 
54674050_3          catalog_count  COMPLETED      0:0   00:06:11 2026-07-28T11:40:38 2026-07-28T11:46:49 
54674050_4          catalog_count  COMPLETED      0:0   00:04:46 2026-07-28T11:40:38 2026-07-28T11:45:24 
54674050_5          catalog_count  COMPLETED      0:0   00:07:22 2026-07-28T11:40:38 2026-07-28T11:48:00 
54674050_6          catalog_count  COMPLETED      0:0   00:04:36 2026-07-28T11:40:38 2026-07-28T11:45:14 
54674050_7          catalog_count  COMPLETED      0:0   00:02:14 2026-07-28T11:40:38 2026-07-28T11:42:52 
54674050_8          catalog_count  COMPLETED      0:0   00:02:30 2026-07-28T11:40:38 2026-07-28T11:43:08 
54674050_9          catalog_count  COMPLETED      0:0   00:06:35 2026-07-28T11:40:38 2026-07-28T11:47:13 
54674050_10         catalog_count  COMPLETED      0:0   00:02:24 2026-07-28T11:40:38 2026-07-28T11:43:02 
54674050_11         catalog_count  COMPLETED      0:0   00:06:35 2026-07-28T11:40:38 2026-07-28T11:47:13 
54674050_12         catalog_count  COMPLETED      0:0   00:04:27 2026-07-28T11:40:38 2026-07-28T11:45:05 
54674050_13         catalog_count  COMPLETED      0:0   00:02:15 2026-07-28T11:40:38 2026-07-28T11:42:53 
54674050_14         catalog_count  COMPLETED      0:0   00:02:35 2026-07-28T11:40:38 2026-07-28T11:43:13 
54674050_15         catalog_count  COMPLETED      0:0   00:04:33 2026-07-28T11:40:38 2026-07-28T11:45:11 
54674050_16         catalog_count  COMPLETED      0:0   00:06:17 2026-07-28T11:40:38 2026-07-28T11:46:55 
54674050_17         catalog_count  COMPLETED      0:0   00:04:22 2026-07-28T11:40:38 2026-07-28T11:45:00 
54674050_18         catalog_count  COMPLETED      0:0   00:05:35 2026-07-28T11:40:38 2026-07-28T11:46:13 
54674050_19         catalog_count  COMPLETED      0:0   00:02:11 2026-07-28T11:40:38 2026-07-28T11:42:49 
54674050_20         catalog_count  COMPLETED      0:0   00:03:28 2026-07-28T11:40:38 2026-07-28T11:44:06 
54674050_21         catalog_count  COMPLETED      0:0   00:04:50 2026-07-28T11:40:38 2026-07-28T11:45:28 
54674050_22         catalog_count  COMPLETED      0:0   00:06:44 2026-07-28T11:40:38 2026-07-28T11:47:22 
54674050_23         catalog_count  COMPLETED      0:0   00:06:24 2026-07-28T11:40:38 2026-07-28T11:47:02 
54674050_24         catalog_count  COMPLETED      0:0   00:06:11 2026-07-28T11:40:38 2026-07-28T11:46:49 
54674050_25         catalog_count  COMPLETED      0:0   00:03:26 2026-07-28T11:40:38 2026-07-28T11:44:04 
54674050_26         catalog_count  COMPLETED      0:0   00:02:51 2026-07-28T11:40:38 2026-07-28T11:43:29 
54674050_27         catalog_count  COMPLETED      0:0   00:05:05 2026-07-28T11:40:38 2026-07-28T11:45:43 
54674050_28         catalog_count  COMPLETED      0:0   00:06:43 2026-07-28T11:40:38 2026-07-28T11:47:21 
54674050_29         catalog_count  COMPLETED      0:0   00:14:31 2026-07-28T11:40:38 2026-07-28T11:55:09 
54674050_30         catalog_count  COMPLETED      0:0   00:07:36 2026-07-28T11:40:38 2026-07-28T11:48:14 
54674050_31         catalog_count  COMPLETED      0:0   00:03:28 2026-07-28T11:40:38 2026-07-28T11:44:06 
54674050_32         catalog_count  COMPLETED      0:0   00:03:14 2026-07-28T11:40:38 2026-07-28T11:43:52 
54674050_33         catalog_count  COMPLETED      0:0   00:04:31 2026-07-28T11:40:38 2026-07-28T11:45:09 
